Private Rental Market Statistics ,,,,,,
Table 1.2: Summary of monthly rents recorded between January 2019 and December 2019 by borough and bedroom category for London,,,,,,
,,,,,,
,,,,,,
"These statistics are not comparable with theOffice for National Statistics’ Official Statistics releases on the private rental market. Both use the Valuation Office Agency's data collected by Rent Officers from landlords and letting agents, however, the sample and methodology used to produce the figures is not the same.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table notes and footnotes,,,Back to contents,,,
,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room,20,482,392,492,542
Barking and Dagenham,Studio,20,742,700,731,800
Barking and Dagenham,One Bedroom,220,984,900,"1,000","1,050"
Barking and Dagenham,Two Bedrooms,380,"1,190","1,100","1,200","1,285"
Barking and Dagenham,Three Bedrooms,260,"1,428","1,350","1,400","1,550"
Barking and Dagenham,Four or More Bedrooms,40,"1,653","1,500","1,650","1,850"
Barnet,Room,20,544,492,542,595
Barnet,Studio,110,864,778,850,950
Barnet,One Bedroom,400,"1,149","1,050","1,150","1,250"
Barnet,Two Bedrooms,770,"1,388","1,250","1,365","1,500"
Barnet,Three Bedrooms,280,"1,757","1,600","1,750","1,900"
Barnet,Four or More Bedrooms,150,"2,463","2,000","2,250","2,574"
Bexley,Room,10,428,375,392,492
Bexley,Studio,30,665,600,695,710
Bexley,One Bedroom,140,843,755,875,950
Bexley,Two Bedrooms,290,"1,111","1,000","1,100","1,200"
Bexley,Three Bedrooms,170,"1,288","1,150","1,300","1,400"
Bexley,Four or More Bedrooms,70,"1,592","1,339","1,600","1,750"
Brent,Room,50,593,500,600,650
Brent,Studio,90,894,788,875,"1,000"
Brent,One Bedroom,210,"1,151","1,050","1,150","1,250"
Brent,Two Bedrooms,420,"1,382","1,257","1,350","1,495"
Brent,Three Bedrooms,330,"1,753","1,600","1,700","1,850"
Brent,Four or More Bedrooms,170,"2,143","1,900","2,000","2,350"
Bromley,Room,20,516,442,495,592
Bromley,Studio,70,762,700,750,825
