Private Rental Market Statistics ,,,,,,
Table 1.2: Summary of monthly rents recorded between January 2022 and December 2022 by borough and bedroom category for London,,,,,,
,,,,,,
,,,,,,
"These statistics are not comparable with the Office for National Statistics’ Official Statistics releases on the private rental market. Both use the Valuation Office Agency's data collected by Rent Officers from landlords and letting agents, however, the sample and methodology used to produce the figures is not the same.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table notes and footnotes,,,Back to contents,,,
,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room,10,867,454,567,"1,289"
Barking and Dagenham,Studio,10,764,730,750,750
Barking and Dagenham,One Bedroom,240,"1,053",975,"1,050","1,100"
Barking and Dagenham,Two Bedrooms,430,"1,286","1,200","1,295","1,400"
Barking and Dagenham,Three Bedrooms,270,"1,496","1,400","1,500","1,600"
Barking and Dagenham,Four or More Bedrooms,40,"1,835","1,650","1,825","2,050"
Barnet,Room,20,609,550,600,657
Barnet,Studio,160,942,850,940,"1,050"
Barnet,One Bedroom,730,"1,219","1,100","1,200","1,300"
Barnet,Two Bedrooms,"1,340","1,483","1,350","1,450","1,600"
Barnet,Three Bedrooms,450,"1,918","1,675","1,850","2,100"
Barnet,Four or More Bedrooms,230,"2,757","2,200","2,575","3,250"
Bexley,Room,10,695,592,787,808
Bexley,Studio,20,852,800,845,900
Bexley,One Bedroom,220,988,885,968,"1,095"
Bexley,Two Bedrooms,390,"1,239","1,100","1,250","1,350"
Bexley,Three Bedrooms,300,"1,508","1,300","1,500","1,700"
Bexley,Four or More Bedrooms,90,"1,725","1,321","1,740","2,000"
Brent,Room,30,692,550,700,767
Brent,Studio,80,894,800,900,950
Brent,One Bedroom,260,"1,214","1,100","1,200","1,300"
Brent,Two Bedrooms,420,"1,459","1,300","1,420","1,550"
Brent,Three Bedrooms,310,"1,812","1,650","1,800","1,950"
Brent,Four or More Bedrooms,100,"2,281","2,000","2,200","2,492"
Bromley,Room,-,..,..,..,..
