Private Rental Market Statistics ,,,,,,
Summary of monthly rents recorded between October 2022 and September 2023 by borough and bedroom category for London,,,,,,
,,,,,,
,,,,,,
"These statistics are not comparable with the Office for National Statistics’ Official Statistics releases on the private rental market. Both use the Valuation Office Agency's data collected by Rent Officers from landlords and letting agents, however, the sample and methodology used to produce the figures is not the same.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,
,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room,10,505, .. ,542, .. 
Barking and Dagenham,Studio,10,777,700,750,850
Barking and Dagenham,One Bedroom,180,"1,094","1,000","1,100","1,171"
Barking and Dagenham,Two Bedrooms,320,"1,334","1,200","1,325","1,450"
Barking and Dagenham,Three Bedrooms,240,"1,553","1,400","1,550","1,650"
Barking and Dagenham,Four or More Bedrooms,30,"1,906","1,700","1,825","2,175"
Barnet,Room,30,606,500,612,677
Barnet,Studio,110,"1,010",900,"1,000","1,105"
Barnet,One Bedroom,510,"1,316","1,200","1,300","1,408"
Barnet,Two Bedrooms,990,"1,586","1,400","1,550","1,700"
Barnet,Three Bedrooms,350,"2,120","1,850","2,050","2,350"
Barnet,Four or More Bedrooms,200,"3,065","2,450","2,850","3,500"
Bexley,Room, - , .. , .. , .. , .. 
Bexley,Studio,10,992, .. ,950, .. 
Bexley,One Bedroom,90,"1,068",900,"1,000","1,250"
Bexley,Two Bedrooms,170,"1,329","1,127","1,350","1,500"
Bexley,Three Bedrooms,190,"1,516","1,200","1,500","1,800"
Bexley,Four or More Bedrooms,70,"1,737","1,370","1,540","2,100"
Brent,Room,40,811,706,792,900
Brent,Studio,40,900,800,875,975
Brent,One Bedroom,130,"1,330","1,170","1,300","1,450"
Brent,Two Bedrooms,200,"1,636","1,400","1,600","1,800"
Brent,Three Bedrooms,140,"2,040","1,750","1,973","2,200"
Brent,Four or More Bedrooms,40,"2,661","2,125","2,620","2,938"
Bromley,Room,10,693, .. ,675, .. 
Bromley,Studio,40,888,765,900,975
Bromley,One Bedroom,660,"1,144","1,000","1,150","1,250"
Bromley,Two Bedrooms,"1,000","1,439","1,300","1,414","1,600"
Bromley,Three Bedrooms,410,"1,813","1,578","1,750","2,000"
Bromley,Four or More Bedrooms,180,"2,602","2,000","2,322","2,750"
Camden,Room,10,921,750,850,"1,050"
Camden,Studio,200,"1,156",940,"1,050","1,280"
Camden,One Bedroom,580,"1,778","1,425","1,712","2,037"
Camden,Two Bedrooms,670,"2,445","1,993","2,383","2,750"
Camden,Three Bedrooms,280,"3,210","2,599","3,077","3,770"
Camden,Four or More Bedrooms,80,"4,620","3,450","4,247","5,200"
City of London,Room, - , .. , .. , .. , .. 
City of London,Studio,30,"1,967","1,517","1,950","2,427"
City of London,One Bedroom,60,"2,137","1,750","2,058","2,492"
City of London,Two Bedrooms,20,"2,709","2,382","2,700","2,925"
City of London,Three Bedrooms, - , .. , .. , .. , .. 
City of London,Four or More Bedrooms, - , .. , .. , .. , .. 
Croydon,Room,50,587,517,535,699
Croydon,Studio,210,988,950,"1,000","1,050"
Croydon,One Bedroom,540,"1,091",960,"1,100","1,200"
Croydon,Two Bedrooms,650,"1,366","1,200","1,350","1,500"
Croydon,Three Bedrooms,270,"1,688","1,450","1,625","1,850"
Croydon,Four or More Bedrooms,120,"2,279","1,895","2,200","2,600"
Ealing,Room,10,711,750,785,796
Ealing,Studio,60,"1,088",900,"1,075","1,250"
Ealing,One Bedroom,420,"1,351","1,208","1,325","1,450"
Ealing,Two Bedrooms,610,"1,663","1,450","1,603","1,838"
Ealing,Three Bedrooms,190,"2,046","1,700","1,950","2,350"
Ealing,Four or More Bedrooms,130,"2,901","2,294","2,550","3,250"
Enfield,Room,20,625,551,633,726
Enfield,Studio,30,969,868,950,"1,000"
Enfield,One Bedroom,190,"1,158","1,050","1,125","1,295"
Enfield,Two Bedrooms,350,"1,442","1,300","1,400","1,550"
Enfield,Three Bedrooms,250,"1,732","1,550","1,700","1,850"
Enfield,Four or More Bedrooms,60,"2,481","2,125","2,300","2,725"
Greenwich,Room,50,773,600,725,893
Greenwich,Studio,20,"1,087",900,988,"1,200"
Greenwich,One Bedroom,240,"1,436","1,200","1,475","1,650"
Greenwich,Two Bedrooms,420,"1,677","1,400","1,650","1,900"
Greenwich,Three Bedrooms,160,"1,958","1,598","1,850","2,275"
Greenwich,Four or More Bedrooms,50,"2,444","1,800","2,300","2,700"
Hackney,Room,10,771, .. ,788, .. 
Hackney,Studio,40,"1,336","1,000","1,300","1,660"
Hackney,One Bedroom,370,"1,674","1,370","1,600","1,900"
Hackney,Two Bedrooms,380,"2,030","1,600","1,950","2,300"
Hackney,Three Bedrooms,160,"2,636","2,200","2,600","3,030"
Hackney,Four or More Bedrooms,40,"3,423","3,000","3,250","3,700"
Hammersmith and Fulham,Room, - , .. , .. , .. , .. 
Hammersmith and Fulham,Studio,70,"1,195",975,"1,082","1,350"
Hammersmith and Fulham,One Bedroom,410,"1,683","1,350","1,600","1,875"
Hammersmith and Fulham,Two Bedrooms,440,"2,311","1,750","2,100","2,650"
Hammersmith and Fulham,Three Bedrooms,150,"3,222","2,400","2,947","3,800"
Hammersmith and Fulham,Four or More Bedrooms,110,"4,745","3,525","4,295","5,500"
Haringey,Room,30,779,623,797,927
